"","year","month","month.year","policy01","policy02","policy03","policy04","policy05","policy06","policy07","policy08","policy09","policy10","policy11","policy12","policy13","policy14","policy15","policy16","policy17","policy18","policy19","policy20","policy21","policy22","policy23","total.attention","p01","p02","p03","p04","p05","p06","p07","p08","p09","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20","p21","p22","p23","entropy","herfindahl","date","entropy.ma3","entropy.ma6","epu"
"280",2008,12,Dec 2008,2,0,2,0,0,0,2,2,0,2,0,1,1,0,3,1,0,0,1,1,0,0,0,18,0.111111111111111,0,0.111111111111111,0,0,0,0.111111111111111,0.111111111111111,0,0.111111111111111,0,0.0555555555555556,0.0555555555555556,0,0.166666666666667,0.0555555555555556,0,0,0.0555555555555556,0.0555555555555556,0,0,0,0.762742922841951,0.0601851851851852,2008-12-01,0.584043412006904,0.685445068570799,145.9946747
"289",2009,1,Jan 2009,1,0,5,0,0,1,2,2,0,1,0,1,0,0,2,7,0,0,1,16,0,0,0,39,0.0256410256410256,0,0.128205128205128,0,0,0.0256410256410256,0.0512820512820513,0.0512820512820513,0,0.0256410256410256,0,0.0256410256410256,0,0,0.0512820512820513,0.179487179487179,0,0,0.0256410256410256,0.41025641025641,0,0,0,0.612196901839943,0.189546351084813,2009-01-01,0.663317927748835,0.659150330185905,171.946228
"293",2009,2,Feb 2009,1,0,7,2,2,1,8,4,0,5,0,1,0,0,5,13,2,0,5,10,1,0,0,67,0.0149253731343284,0,0.104477611940299,0.0298507462686567,0.0298507462686567,0.0149253731343284,0.119402985074627,0.0597014925373134,0,0.0746268656716418,0,0.0149253731343284,0,0,0.0746268656716418,0.194029850746269,0.0298507462686567,0,0.0746268656716418,0.149253731343284,0.0149253731343284,0,0,0.790466253074156,0.064379594564491,2009-02-01,0.687469912340947,0.683434734274159,187.1140289
"294",2009,3,Mar 2009,13,1,21,7,2,2,17,7,1,9,0,11,4,2,26,33,8,1,13,24,2,0,0,204,0.0637254901960784,0.00490196078431373,0.102941176470588,0.0343137254901961,0.00980392156862745,0.00980392156862745,0.0833333333333333,0.0343137254901961,0.00490196078431373,0.0441176470588235,0,0.053921568627451,0.0196078431372549,0.00980392156862745,0.127450980392157,0.161764705882353,0.0392156862745098,0.00490196078431373,0.0637254901960784,0.117647058823529,0.00980392156862745,0,0,0.851125384581856,0.046078431372549,2009-03-01,0.701331577457049,0.666698580353971,166.9033813
"295",2009,4,Apr 2009,3,4,23,3,4,0,5,7,3,7,0,4,1,0,12,22,5,1,12,20,4,0,0,140,0.0214285714285714,0.0285714285714286,0.164285714285714,0.0214285714285714,0.0285714285714286,0,0.0357142857142857,0.05,0.0214285714285714,0.05,0,0.0285714285714286,0.00714285714285714,0,0.0857142857142857,0.157142857142857,0.0357142857142857,0.00714285714285714,0.0857142857142857,0.142857142857143,0.0285714285714286,0,0,0.83699003437319,0.0540357142857143,2009-04-01,0.820795818828006,0.716084878998725,131.8561249
"296",2009,5,May 2009,3,1,12,5,1,4,8,4,1,13,0,7,2,2,25,35,11,2,22,27,3,0,0,188,0.0159574468085106,0.00531914893617021,0.0638297872340425,0.0265957446808511,0.00531914893617021,0.0212765957446809,0.0425531914893617,0.0212765957446809,0.00531914893617021,0.0691489361702128,0,0.0372340425531915,0.0106382978723404,0.0106382978723404,0.132978723404255,0.186170212765957,0.0585106382978723,0.0106382978723404,0.117021276595745,0.143617021276596,0.0159574468085106,0,0,0.826154807992463,0.0599196468990493,2009-05-01,0.844057709477523,0.770704299342219,138.8058472
"297",2009,6,Jun 2009,3,2,23,5,0,6,12,7,1,12,0,11,2,9,34,22,17,4,16,20,3,0,0,209,0.0143540669856459,0.00956937799043062,0.110047846889952,0.0239234449760766,0,0.0287081339712919,0.0574162679425837,0.0334928229665072,0.00478468899521531,0.0574162679425837,0,0.0526315789473684,0.00956937799043062,0.0430622009569378,0.162679425837321,0.105263157894737,0.0813397129186603,0.0191387559808612,0.076555023923445,0.0956937799043062,0.0143540669856459,0,0,0.865894905466399,0.0403104324534695,2009-06-01,0.831572421182827,0.783386676372322,130.9334869
"298",2009,7,Jul 2009,4,2,14,5,3,6,12,11,3,12,0,12,0,2,44,17,7,4,20,30,9,0,0,217,0.0184331797235023,0.00921658986175115,0.0645161290322581,0.0230414746543779,0.0138248847926267,0.0276497695852535,0.0552995391705069,0.0506912442396313,0.0138248847926267,0.0552995391705069,0,0.0552995391705069,0,0.00921658986175115,0.202764976958525,0.0783410138248848,0.032258064516129,0.0184331797235023,0.0921658986175115,0.138248847926267,0.0414746543778802,0,0,0.855792647534154,0.0508547643823398,2009-07-01,0.846024856729431,0.834126277097613,126.2821503
"299",2009,8,Aug 2009,1,0,7,1,0,0,2,1,0,2,0,1,0,1,3,4,1,0,1,6,1,0,0,32,0.03125,0,0.21875,0.03125,0,0,0.0625,0.03125,0,0.0625,0,0.03125,0,0.03125,0.09375,0.125,0.03125,0,0.03125,0.1875,0.03125,0,0,0.768983678173071,0.07919921875,2009-08-01,0.860843776500277,0.847191555989612,152.5500946
"300",2009,9,Sep 2009,2,2,15,3,1,3,8,6,0,5,0,9,0,2,28,16,6,0,13,16,3,0,0,138,0.0144927536231884,0.0144927536231884,0.108695652173913,0.0217391304347826,0.0072463768115942,0.0217391304347826,0.0579710144927536,0.0434782608695652,0,0.036231884057971,0,0.0652173913043478,0,0.0144927536231884,0.202898550724638,0.115942028985507,0.0434782608695652,0,0.0942028985507246,0.115942028985507,0.0217391304347826,0,0,0.818686019940141,0.0587271581600504,2009-09-01,0.812388162853612,0.830763214707855,145.4443665
